Teams,Wins,Loss,Win-Loss Percentage,Games Behind,Points Per Game,Opponent Points Per Game,Simple Rating System
Boston Celtics,53.0,29.0,0.646,0.0,108.0,105.4,2.25
Cleveland Cavaliers,51.0,31.0,0.622,2.0,110.3,107.2,2.87
Toronto Raptors,51.0,31.0,0.622,2.0,106.9,102.6,3.65
Washington Wizards,49.0,33.0,0.598,4.0,109.2,107.4,1.36
Atlanta Hawks,43.0,39.0,0.524,10.0,103.2,104.0,-1.23
Milwaukee Bucks,42.0,40.0,0.512,11.0,103.6,103.8,-0.45
Indiana Pacers,42.0,40.0,0.512,11.0,105.1,105.3,-0.64
Chicago Bulls,41.0,41.0,0.5,12.0,102.9,102.4,0.03
Miami Heat,41.0,41.0,0.5,12.0,103.2,102.1,0.77
Detroit Pistons,37.0,45.0,0.451,16.0,101.3,102.5,-1.29
Charlotte Hornets,36.0,46.0,0.439,17.0,104.9,104.7,-0.07
New York Knicks,31.0,51.0,0.378,22.0,104.3,108.0,-3.87
Orlando Magic,29.0,53.0,0.354,24.0,101.1,107.6,-6.61
Philadelphia 76ers,28.0,54.0,0.341,25.0,102.4,108.1,-5.83
Brooklyn Nets,20.0,62.0,0.244,33.0,105.8,112.5,-6.74
Golden State Warriors,67.0,15.0,0.817,0.0,115.9,104.3,11.35
San Antonio Spurs,61.0,21.0,0.744,6.0,105.3,98.1,7.13
Houston Rockets,55.0,27.0,0.671,12.0,115.3,109.6,5.84
Los Angeles Clippers,51.0,31.0,0.622,16.0,108.7,104.4,4.42
Utah Jazz,51.0,31.0,0.622,16.0,100.7,96.8,4.0
Oklahoma City Thunder,47.0,35.0,0.573,20.0,106.6,105.8,1.14
Memphis Grizzlies,43.0,39.0,0.524,24.0,100.5,100.0,0.96
Portland Trail Blazers,41.0,41.0,0.5,26.0,107.9,108.5,-0.23
Denver Nuggets,40.0,42.0,0.488,27.0,111.7,111.2,0.7
New Orleans Pelicans,34.0,48.0,0.415,33.0,104.3,106.4,-1.69
Dallas Mavericks,33.0,49.0,0.402,34.0,97.9,100.8,-2.53
Sacramento Kings,32.0,50.0,0.39,35.0,102.8,106.7,-3.29
Minnesota Timberwolves,31.0,51.0,0.378,36.0,105.6,106.7,-0.64
Los Angeles Lakers,26.0,56.0,0.317,41.0,104.6,111.5,-6.29
Phoenix Suns,24.0,58.0,0.293,43.0,107.7,113.3,-5.14
